NACA,Camber,Thickness,Re,Mach,Alpha,Cl,Cd,Cm
4406,4,6,75000,0.45,20,1.053958,0.370085,-0.178523
4406,4,6,75000,0.55,-20,-0.671386,0.328178,0.063622
4406,4,6,75000,0.55,-19,-0.647713,0.305711,0.058343
4406,4,6,75000,0.55,-18,-0.623427,0.283948,0.053252
4406,4,6,75000,0.55,-17,-0.598714,0.262947,0.04837
4406,4,6,75000,0.55,-16,-0.573606,0.242698,0.043687
4406,4,6,75000,0.55,-15,-0.548034,0.223159,0.039163
4406,4,6,75000,0.55,-14,-0.522323,0.204409,0.034801
4406,4,6,75000,0.55,-13,-0.496571,0.18644,0.030552
4406,4,6,75000,0.55,-12,-0.471137,0.169316,0.026365
4406,4,6,75000,0.55,-11,-0.445944,0.152968,0.022072
4406,4,6,75000,0.55,-10,-0.420596,0.137305,0.01733
4406,4,6,75000,0.55,-9,-0.394429,0.122235,0.011653
4406,4,6,75000,0.55,-8,-0.36691,0.107822,0.004532
4406,4,6,75000,0.55,-7,-0.333311,0.0933,-0.005854
4406,4,6,75000,0.55,-6,-0.290899,0.079083,-0.020419
4406,4,6,75000,0.55,-5,-0.221812,0.063983,-0.043279
4406,4,6,75000,0.55,-4,-0.102428,0.047536,-0.075322
4406,4,6,75000,0.55,-3,0.070998,0.030165,-0.104293
4406,4,6,75000,0.55,-2,0.219742,0.020021,-0.111388
4406,4,6,75000,0.55,-1,0.351163,0.017607,-0.111878
4406,4,6,75000,0.55,0,0.479325,0.017285,-0.111646
4406,4,6,75000,0.55,1,0.605729,0.017683,-0.111065
4406,4,6,75000,0.55,2,0.730404,0.018621,-0.110007
4406,4,6,75000,0.55,3,0.852709,0.020101,-0.108217
4406,4,6,75000,0.55,4,0.971333,0.022223,-0.105358
4406,4,6,75000,0.55,5,1.083214,0.02526,-0.100923
4406,4,6,75000,0.55,6,1.179748,0.030016,-0.094129
4406,4,6,75000,0.55,7,1.248495,0.038139,-0.085396
4406,4,6,75000,0.55,8,1.275992,0.051466,-0.078574
4406,4,6,75000,0.55,9,1.249645,0.073028,-0.081227
4406,4,6,75000,0.55,10,1.174653,0.104718,-0.096982
4406,4,6,75000,0.55,11,1.097614,0.139433,-0.1167
4406,4,6,75000,0.55,12,1.055352,0.172758,-0.133431
4406,4,6,75000,0.55,13,1.038989,0.20233,-0.145302
4406,4,6,75000,0.55,14,1.036401,0.229174,-0.15376
4406,4,6,75000,0.55,15,1.041491,0.255612,-0.161131
4406,4,6,75000,0.55,16,1.04922,0.281055,-0.167065
4406,4,6,75000,0.55,17,1.058779,0.306479,-0.172492
4406,4,6,75000,0.55,18,1.069416,0.332064,-0.177592
4406,4,6,75000,0.55,19,1.081146,0.358123,-0.182623
4406,4,6,75000,0.55,20,1.091193,0.383823,-0.187095
4406,4,6,75000,0.65,-20,-0.713133,0.346901,0.069034
4406,4,6,75000,0.65,-19,-0.685926,0.322649,0.062387
4406,4,6,75000,0.65,-18,-0.657727,0.299109,0.055882
4406,4,6,75000,0.65,-17,-0.628675,0.276334,0.049549
4406,4,6,75000,0.65,-16,-0.598956,0.254384,0.043412
4406,4,6,75000,0.65,-15,-0.568691,0.233284,0.037477
4406,4,6,75000,0.65,-14,-0.537922,0.213022,0.031721
4406,4,6,75000,0.65,-13,-0.50694,0.19365,0.026151
4406,4,6,75000,0.65,-12,-0.47601,0.175202,0.02073
4406,4,6,75000,0.65,-11,-0.445194,0.157653,0.015332
4406,4,6,75000,0.65,-10,-0.414273,0.140944,0.009696
4406,4,6,75000,0.65,-9,-0.382752,0.125,0.003417
4406,4,6,75000,0.65,-8,-0.349949,0.109747,-0.004022
4406,4,6,75000,0.65,-7,-0.314327,0.09508,-0.01342
4406,4,6,75000,0.65,-6,-0.272746,0.080841,-0.025973
4406,4,6,75000,0.65,-5,-0.2145,0.066547,-0.044366
4406,4,6,75000,0.65,-4,-0.115565,0.051369,-0.071799
4406,4,6,75000,0.65,-3,0.054892,0.034873,-0.10551
4406,4,6,75000,0.65,-2,0.23201,0.0225,-0.120934
4406,4,6,75000,0.65,-1,0.382443,0.018466,-0.122684
4406,4,6,75000,0.65,0,0.525674,0.018105,-0.122508
4406,4,6,75000,0.65,1,0.666668,0.018761,-0.121762
4406,4,6,75000,0.65,2,0.806079,0.020132,-0.120068
4406,4,6,75000,0.65,3,0.94333,0.022316,-0.116815
4406,4,6,75000,0.65,4,1.072824,0.026188,-0.111532
4406,4,6,75000,0.65,5,1.176647,0.033682,-0.105177
4406,4,6,75000,0.65,6,1.235274,0.045812,-0.099641
4406,4,6,75000,0.65,7,1.24108,0.062676,-0.098415
4406,4,6,75000,0.65,8,1.219963,0.082196,-0.101682
4406,4,6,75000,0.65,9,1.185032,0.103929,-0.108626
4406,4,6,75000,0.65,10,1.14645,0.128397,-0.119018
4406,4,6,75000,0.65,11,1.112517,0.156418,-0.132308
4406,4,6,75000,0.65,12,1.09116,0.18594,-0.145268
4406,4,6,75000,0.65,13,1.08452,0.214552,-0.155895
4406,4,6,75000,0.65,14,1.086654,0.242528,-0.164998
4406,4,6,75000,0.65,15,1.093942,0.269782,-0.172651
4406,4,6,75000,0.65,16,1.104235,0.2969,-0.179521
4406,4,6,75000,0.65,17,1.116037,0.324011,-0.1858
4406,4,6,75000,0.65,18,1.12842,0.35125,-0.191661
4406,4,6,75000,0.65,19,1.140995,0.378734,-0.197264
4406,4,6,75000,0.65,20,1.153517,0.406556,-0.202698
4406,4,6,75000,0.7,-20,-0.749295,0.36173,0.075662
4406,4,6,75000,0.7,-19,-0.719388,0.3361,0.067819
4406,4,6,75000,0.7,-18,-0.688186,0.311193,0.060065
4406,4,6,75000,0.7,-17,-0.655809,0.287067,0.052436
4406,4,6,75000,0.7,-16,-0.622405,0.263779,0.044966
4406,4,6,75000,0.7,-15,-0.588139,0.241377,0.037685
4406,4,6,75000,0.7,-14,-0.553245,0.219908,0.030629
4406,4,6,75000,0.7,-13,-0.517966,0.199414,0.023811
4406,4,6,75000,0.7,-12,-0.482556,0.179917,0.017225
4406,4,6,75000,0.7,-11,-0.447151,0.161412,0.010774
4406,4,6,75000,0.7,-10,-0.411661,0.143863,0.004252
4406,4,6,75000,0.7,-9,-0.375781,0.127211,-0.002677
4406,4,6,75000,0.7,-8,-0.339103,0.111407,-0.010419
4406,4,6,75000,0.7,-7,-0.300636,0.096373,-0.019622
4406,4,6,75000,0.7,-6,-0.258244,0.082007,-0.031195
4406,4,6,75000,0.7,-5,-0.203806,0.06794,-0.047331
4406,4,6,75000,0.7,-4,-0.116442,0.053466,-0.071422
4406,4,6,75000,0.7,-3,0.044821,0.037727,-0.105373
4406,4,6,75000,0.7,-2,0.239525,0.02466,-0.127158
4406,4,6,75000,0.7,-1,0.407066,0.019386,-0.130937
4406,4,6,75000,0.7,0,0.563465,0.019031,-0.131042
4406,4,6,75000,0.7,1,0.716216,0.02058,-0.130522
4406,4,6,75000,0.7,2,0.855442,0.025468,-0.130852
4406,4,6,75000,0.7,3,0.957559,0.034029,-0.130838
4406,4,6,75000,0.7,4,1.020877,0.044729,-0.128914
4406,4,6,75000,0.7,5,1.063331,0.057034,-0.126804
4406,4,6,75000,0.7,6,1.095243,0.07084,-0.125208
4406,4,6,75000,0.7,7,1.11751,0.08647,-0.124854
4406,4,6,75000,0.7,8,1.129727,0.10425,-0.126395
4406,4,6,75000,0.7,9,1.133453,0.12392,-0.129989
4406,4,6,75000,0.7,10,1.131241,0.145512,-0.136013
4406,4,6,75000,0.7,11,1.125775,0.169273,-0.144175
4406,4,6,75000,0.7,12,1.121295,0.196109,-0.154717
4406,4,6,75000,0.7,13,1.120706,0.224025,-0.164691
4406,4,6,75000,0.7,14,1.125532,0.252254,-0.173824
4406,4,6,75000,0.7,15,1.13467,0.280478,-0.182062
4406,4,6,75000,0.7,16,1.146288,0.308671,-0.189523
4406,4,6,75000,0.7,17,1.159143,0.336924,-0.196385
4406,4,6,75000,0.7,18,1.172346,0.365295,-0.202761
4406,4,6,75000,0.7,19,1.185546,0.393905,-0.208862
4406,4,6,75000,0.7,20,1.198356,0.422752,-0.214681
4406,4,6,75000,0.75,-20,-0.808471,0.384002,0.089659
4406,4,6,75000,0.75,-19,-0.775034,0.356448,0.079996
4406,4,6,75000,0.75,-18,-0.739572,0.329561,0.0702
4406,4,6,75000,0.75,-17,-0.702189,0.303423,0.060326
4406,4,6,75000,0.75,-16,-0.663065,0.278122,0.050458
4406,4,6,75000,0.75,-15,-0.622473,0.253749,0.040699
4406,4,6,75000,0.75,-14,-0.580705,0.23038,0.031145
4406,4,6,75000,0.75,-13,-0.538181,0.208098,0.021914
4406,4,6,75000,0.75,-12,-0.495277,0.186951,0.013064
4406,4,6,75000,0.75,-11,-0.452312,0.166964,0.004599
4406,4,6,75000,0.75,-10,-0.409402,0.148122,-0.003614
4406,4,6,75000,0.75,-9,-0.366565,0.130398,-0.011788
4406,4,6,75000,0.75,-8,-0.32378,0.113761,-0.020218
4406,4,6,75000,0.75,-7,-0.280707,0.098166,-0.029351
4406,4,6,75000,0.75,-6,-0.236193,0.083535,-0.039882
4406,4,6,75000,0.75,-5,-0.184673,0.06961,-0.053482
4406,4,6,75000,0.75,-4,-0.10852,0.055787,-0.0736
4406,4,6,75000,0.75,-3,0.036805,0.041084,-0.105367
4406,4,6,75000,0.75,-2,0.249845,0.027854,-0.134707
4406,4,6,75000,0.75,-1,0.446837,0.022183,-0.144798
4406,4,6,75000,0.75,0,0.609023,0.025679,-0.151747
4406,4,6,75000,0.75,1,0.717693,0.03365,-0.154741
4406,4,6,75000,0.75,2,0.790928,0.043101,-0.153512
4406,4,6,75000,0.75,3,0.850797,0.053671,-0.151711
4406,4,6,75000,0.75,4,0.904438,0.065212,-0.150075
4406,4,6,75000,0.75,5,0.955056,0.077984,-0.149144
4406,4,6,75000,0.75,6,1.002387,0.092064,-0.148794
4406,4,6,75000,0.75,7,1.044206,0.107616,-0.149003
4406,4,6,75000,0.75,8,1.080848,0.124991,-0.150339
4406,4,6,75000,0.75,9,1.110471,0.144161,-0.152922
4406,4,6,75000,0.75,10,1.134332,0.165186,-0.15709
4406,4,6,75000,0.75,11,1.151658,0.187782,-0.162689
4406,4,6,75000,0.75,12,1.163585,0.212015,-0.169753
4406,4,6,75000,0.75,13,1.17296,0.238226,-0.178095
4406,4,6,75000,0.75,14,1.182234,0.26618,-0.186911
4406,4,6,75000,0.75,15,1.193095,0.295253,-0.195636
4406,4,6,75000,0.75,16,1.205719,0.324759,-0.203826
4406,4,6,75000,0.75,17,1.219321,0.35446,-0.211424
4406,4,6,75000,0.75,18,1.233137,0.384335,-0.218519
4406,4,6,75000,0.75,19,1.246591,0.414351,-0.225165
4406,4,6,75000,0.75,20,1.259658,0.444626,-0.231521
4406,4,6,75000,0.8,-20,-0.912049,0.420292,0.118661
4406,4,6,75000,0.8,-19,-0.876186,0.390316,0.10732
4406,4,6,75000,0.8,-18,-0.837194,0.360856,0.095407
4406,4,6,75000,0.8,-17,-0.794922,0.331995,0.082885
4406,4,6,75000,0.8,-16,-0.749248,0.303827,0.069731
4406,4,6,75000,0.8,-15,-0.700045,0.276446,0.055924
4406,4,6,75000,0.8,-14,-0.64721,0.249954,0.041464
4406,4,6,75000,0.8,-13,-0.59067,0.224448,0.026365
4406,4,6,75000,0.8,-12,-0.530292,0.200001,0.010652
4406,4,6,75000,0.8,-11,-0.466213,0.176702,-0.005534
4406,4,6,75000,0.8,-10,-0.402817,0.155004,-0.020189
4406,4,6,75000,0.8,-9,-0.343257,0.135129,-0.032316
4406,4,6,75000,0.8,-8,-0.288503,0.117058,-0.042207
4406,4,6,75000,0.8,-7,-0.237776,0.100608,-0.050829
4406,4,6,75000,0.8,-6,-0.189751,0.085596,-0.059224
4406,4,6,75000,0.8,-5,-0.140329,0.071788,-0.069025
4406,4,6,75000,0.8,-4,-0.074016,0.058747,-0.084174
4406,4,6,75000,0.8,-3,0.049774,0.046327,-0.112573
4406,4,6,75000,0.8,-2,0.242236,0.038202,-0.151017
4406,4,6,75000,0.8,-1,0.397294,0.03736,-0.169331
4406,4,6,75000,0.8,0,0.512518,0.041601,-0.173298
4406,4,6,75000,0.8,1,0.606633,0.049676,-0.173405
4406,4,6,75000,0.8,2,0.6894,0.059908,-0.173234
4406,4,6,75000,0.8,3,0.766089,0.071515,-0.173518
4406,4,6,75000,0.8,4,0.83801,0.084369,-0.174172
4406,4,6,75000,0.8,5,0.905519,0.098485,-0.175136
4406,4,6,75000,0.8,6,0.968611,0.113935,-0.176413
4406,4,6,75000,0.8,7,1.027388,0.130851,-0.178105
4406,4,6,75000,0.8,8,1.081588,0.149376,-0.180302
4406,4,6,75000,0.8,9,1.130709,0.169632,-0.183136
4406,4,6,75000,0.8,10,1.174252,0.191595,-0.186716
4406,4,6,75000,0.8,11,1.211841,0.215062,-0.191026
4406,4,6,75000,0.8,12,1.243167,0.239776,-0.196037
4406,4,6,75000,0.8,13,1.267838,0.265494,-0.201779
4406,4,6,75000,0.8,14,1.285501,0.292088,-0.208394
4406,4,6,75000,0.8,15,1.296153,0.319734,-0.216142
4406,4,6,75000,0.8,16,1.305264,0.349438,-0.224933
4406,4,6,75000,0.8,17,1.316934,0.38077,-0.233636
4406,4,6,75000,0.8,18,1.329427,0.412751,-0.241898
4406,4,6,75000,0.8,19,1.34187,0.444921,-0.249541
4406,4,6,75000,0.8,20,1.354135,0.477285,-0.256693
4406,4,6,75000,0.85,-20,-1.145302,0.502671,0.181679
4406,4,6,75000,0.85,-19,-1.10908,0.468267,0.168867
4406,4,6,75000,0.85,-18,-1.068172,0.433998,0.154942
4406,4,6,75000,0.85,-17,-1.022243,0.399993,0.139812
4406,4,6,75000,0.85,-16,-0.970963,0.366396,0.12338
4406,4,6,75000,0.85,-15,-0.914352,0.333444,0.105697
4406,4,6,75000,0.85,-14,-0.852664,0.301405,0.086907
4406,4,6,75000,0.85,-13,-0.786013,0.270511,0.067092
4406,4,6,75000,0.85,-12,-0.714305,0.240945,0.046268
4406,4,6,75000,0.85,-11,-0.637733,0.212941,0.02453
4406,4,6,75000,0.85,-10,-0.557344,0.186794,0.002315
4406,4,6,75000,0.85,-9,-0.474645,0.162703,-0.019648
4406,4,6,75000,0.85,-8,-0.391358,0.140893,-0.040824
4406,4,6,75000,0.85,-7,-0.309572,0.121511,-0.060783
4406,4,6,75000,0.85,-6,-0.236744,0.104739,-0.077491
4406,4,6,75000,0.85,-5,-0.181784,0.090522,-0.088608
4406,4,6,75000,0.85,-4,-0.146487,0.078522,-0.094944
4406,4,6,75000,0.85,-3,-0.117885,0.069059,-0.104434
4406,4,6,75000,0.85,-2,-0.014998,0.06096,-0.128504
4406,4,6,75000,0.85,-1,0.161504,0.056573,-0.157962
4406,4,6,75000,0.85,0,0.34544,0.059032,-0.182123
4406,4,6,75000,0.85,1,0.509139,0.067571,-0.199321
4406,4,6,75000,0.85,2,0.646944,0.081202,-0.212663
4406,4,6,75000,0.85,3,0.76777,0.098588,-0.225774
4406,4,6,75000,0.85,4,0.882459,0.118878,-0.240301
4406,4,6,75000,0.85,5,0.993509,0.142041,-0.256072
4406,4,6,75000,0.85,6,1.101419,0.168171,-0.27283
4406,4,6,75000,0.85,7,1.206926,0.197552,-0.290722
4406,4,6,75000,0.85,8,1.312173,0.230978,-0.310798
4406,4,6,75000,0.85,9,1.430362,0.272915,-0.340238
4406,4,6,75000,0.85,10,1.580799,0.332407,-0.392529
4406,4,6,75000,0.85,11,1.650548,0.369638,-0.402616
4406,4,6,75000,0.85,12,1.715134,0.408711,-0.412316
4406,4,6,75000,0.85,13,1.775252,0.449631,-0.421903
4406,4,6,75000,0.85,14,1.831083,0.492212,-0.431342
4406,4,6,75000,0.85,15,1.882797,0.536286,-0.44061
4406,4,6,75000,0.85,16,1.930568,0.581704,-0.449701
4406,4,6,75000,0.85,17,1.974583,0.62834,-0.458622
4406,4,6,75000,0.85,18,2.015068,0.676085,-0.467388
4406,4,6,75000,0.85,19,2.050055,0.723537,-0.474531
4406,4,6,75000,0.85,20,1.657846,0.577513,-0.320595
4406,4,6,75000,0.9,-20,-1.597918,0.672973,0.277656
4406,4,6,75000,0.9,-19,-1.553745,0.627436,0.261304
4406,4,6,75000,0.9,-18,-1.505455,0.58265,0.24426
4406,4,6,75000,0.9,-17,-1.452975,0.538779,0.226501
4406,4,6,75000,0.9,-16,-1.396458,0.496029,0.208114
4406,4,6,75000,0.9,-15,-1.336094,0.45459,0.189205
4406,4,6,75000,0.9,-14,-1.271887,0.414624,0.169761
4406,4,6,75000,0.9,-13,-1.203807,0.376304,0.149726
4406,4,6,75000,0.9,-12,-1.131985,0.339824,0.129109
4406,4,6,75000,0.9,-11,-1.056678,0.305374,0.108005
4406,4,6,75000,0.9,-10,-0.978031,0.273093,0.086509
4406,4,6,75000,0.9,-9,-0.895961,0.243112,0.064589
4406,4,6,75000,0.9,-8,-0.810138,0.215593,0.042007
4406,4,6,75000,0.9,-7,-0.720547,0.1908,0.018451
4406,4,6,75000,0.9,-6,-0.628323,0.168937,-0.005789
4406,4,6,75000,0.9,-5,-0.533882,0.149911,-0.030354
4406,4,6,75000,0.9,-4,-0.441264,0.132159,-0.05219
4406,4,6,75000,0.9,-3,-0.354863,0.115006,-0.068433
4406,4,6,75000,0.9,-2,-0.271676,0.099992,-0.08115
4406,4,6,75000,0.9,-1,-0.156615,0.088906,-0.109572
4406,4,6,75000,0.9,0,0.130158,0.088988,-0.199883
4406,4,6,75000,0.9,1,0.424831,0.098565,-0.257609
4406,4,6,75000,0.9,2,0.615523,0.111625,-0.280898
4406,4,6,75000,0.9,3,0.749224,0.126653,-0.291
4406,4,6,75000,0.9,4,0.860163,0.145391,-0.300107
4406,4,6,75000,0.9,5,0.961654,0.166448,-0.309582
4406,4,6,75000,0.9,6,1.057107,0.189613,-0.31924
4406,4,6,75000,0.9,7,1.147568,0.214884,-0.32896
4406,4,6,75000,0.9,8,1.233491,0.242293,-0.338678
4406,4,6,75000,0.9,9,1.315049,0.271879,-0.348362
4406,4,6,75000,0.9,10,1.392186,0.303685,-0.358007
4406,4,6,75000,0.9,11,1.464696,0.337692,-0.367617
4406,4,6,75000,0.9,12,1.532331,0.373759,-0.377153
4406,4,6,75000,0.9,13,1.595125,0.411694,-0.386565
4406,4,6,75000,0.9,14,1.653231,0.451299,-0.395813
4406,4,6,75000,0.9,15,1.706832,0.492385,-0.404862
4406,4,6,75000,0.9,16,1.756124,0.534784,-0.4137
4406,4,6,75000,0.9,17,1.801284,0.578342,-0.422316
4406,4,6,75000,0.9,18,1.842468,0.622912,-0.430708
4406,4,6,75000,0.9,19,1.879821,0.668358,-0.438874
4406,4,6,75000,0.9,20,1.913468,0.714548,-0.44681
4406,4,6,125000,0.25,-20,-0.634099,0.305709,0.064093
4406,4,6,125000,0.25,-19,-0.615142,0.285462,0.060325
4406,4,6,125000,0.25,-18,-0.595855,0.265845,0.056753
4406,4,6,125000,0.25,-17,-0.576342,0.246876,0.05338
4406,4,6,125000,0.25,-16,-0.556761,0.228586,0.050203
4406,4,6,125000,0.25,-15,-0.537236,0.210983,0.047201
4406,4,6,125000,0.25,-14,-0.517786,0.194039,0.044315
4406,4,6,125000,0.25,-13,-0.498618,0.177781,0.04148
4406,4,6,125000,0.25,-12,-0.479913,0.162231,0.038578
4406,4,6,125000,0.25,-11,-0.461158,0.147207,0.035329
4406,4,6,125000,0.25,-10,-0.443075,0.13298,0.031565
4406,4,6,125000,0.25,-9,-0.422599,0.118791,0.026225
4406,4,6,125000,0.25,-8,-0.395214,0.104001,0.017213
4406,4,6,125000,0.25,-7,-0.363324,0.090159,0.005198
4406,4,6,125000,0.25,-6,-0.311632,0.0755,-0.015168
4406,4,6,125000,0.25,-5,-0.214312,0.057953,-0.046884
